Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","C3225X7R1H106M250AC","10uF 1210 20% 50V X7R","C1, C2","CMP-001-00005-7","Reviewed","Up to date","2","","","","","","",""
"","C0805C105K5RACTU","1uF 0805 10% 50V X7R","C3, C4","CMP-001-00008-9","Reviewed","Up to date","2","","","","","","",""
"","C1608X8R1E104K080AE","100nF 0603 10% 25V X8R","C5, C6, C16, C19, C22, C30","CMP-001-00054-5","Reviewed","Up to date","6","","","","","","",""
"","GCM155R71H104KE02J","100nF 0402 10% 50V X7R","C7","CMP-001-00060-16","Draft","Up to date","1","Murata","GCM155R71H104KE02J","Volume Production","Digikey","490-14514-6-ND","0.1","0.1"
"","GRM32EC72A106KE05L","10uF 1210 10% 100V X7S","C8, C9, C23, C25_1, C25_2, C25_3, C25_4, C26_1, C26_2, C26_3, C26_4","CMP-001-00027-7","Reviewed","Up to date","11","","","","","","",""
"","CGA4J3X7S2A105K125AE","1uF 0805 10% 100V X7S","C10, C27_1, C27_2, C27_3, C27_4","CMP-001-00028-8","Reviewed","Up to date","5","","","","","","",""
"","GRT21BR61E226ME13L","22uF 0805 20% 25V X5R","C11, C12","CMP-001-00055-8","Reviewed","Up to date","2","","","","","","",""
"","GCM188R71E105KA64D","1uF 0603 10% 25V X7R","C13, C17, C18","CMP-001-00078-7","Deleted","Deleted","3","","","","","","",""
"","GRM155R61C225KE11D","2.2uF 0402 10% 16V X5R","C14","CMP-002-000038-8","Draft","Up to date","1","","","","","","",""
"","GCM155R71H223KA55D","22nF 0402 10% 50V X7R","C15","CMP-002-000033-8","Draft","Up to date","1","","","","","","",""
"","PCR1J470MCL1GS","47uF FPCAP 20% 63V","C20","CMP-001-00004-11","Reviewed","Up to date","1","Nichicon","PCR1J470MCL1GS","Volume Production","Digikey","493-13780-1-ND","3.07","3.07"
"","06031C682K4T2A","6.8nF 0603 10% 100V X7R","C21, C28_1, C28_2, C28_3, C28_4","CMP-001-00056-1-5","Reviewed","Up to date","5","","","","","","",""
"","CL21B104KCFNNNE","100nF 0805 10% 100V X7R","C24, C29_1, C29_2, C29_3, C29_4","CMP-001-00040-8","Reviewed","Up to date","5","","","","","","",""
"","CGA3E3X7R1E334M080AB","330nF 0603 20% 25V X7R","C31","CMP-001-00057-5","Reviewed","Up to date","1","","","","","","",""
"","GCM188R71E105KA64D","1uF 0603 10% 25V X7R","C32","CMP-002-000018-8","Draft","Up to date","1","Murata","GCM188R71E105KA64D","Volume Production","Digikey","490-10673-6-ND","0.18","0.18"
"","SMAJ6.5A","TVS DIODE UNI 6.5VWM 11.2C 400W","D1","CMP-004-00035-1","Reviewed","Up to date","1","Littelfuse","SMAJ6.5A","Volume Production","Mouser","576-SMAJ6.5A","0.37","0.37"
"","LTST-C191KRKT","LED RED CLEAR 0603 SMD","D2, D3","CMP-00032-4","Reviewed","Up to date","2","Vishay Lite-On","LTST-C191KRKT","Volume Production","Digikey","160-1447-1-ND","0.15","0.3"
"","NXP_BZX84-C15,215","DIODE ZENER 15V 5% 250MW TO236AB","D4, D5, D6_1, D6_2, D6_3, D6_4, D7_1, D7_2, D7_3, D7_4","CMP-00045-2","Draft","Up to date","10","Nexperia","BZX84-C15,215","Volume Production","Mouser","771-BZX84-C15-T/R","0.066","0.66"
"","MOLEX_430450406","CONN HEADER SMD R/A 4POS 3MM","J1, J3_1, J3_2, J3_3, J3_4","CMP-002-00013-2","Draft","Up to date","5","Molex","43045-0406","Volume Production","Digikey","WM3249CT-ND","1.87","9.35"
"","MOLEX_436500209","CONN HEADER SMD R/A 2POS 3MM","J2","CMP-002-00017-2","Draft","Up to date","1","Molex","43650-0209","Volume Production","","","",""
"","COILCRAFT_XGL6060-223MEC","22uH SMD 20% 5.8A","L1","CMP-006-00022-3","Draft","Up to date","1","Coilcraft","XGL6060-223MEC","Volume Production","","","",""
"","BeagleBone_Black","AM3358 Microprocessor Development Board 1000MHz CPU 512MB RAM 4GB eMMC Flash","Q1","CMP-00029-10","Draft","Up to date","1","","","","","","",""
