Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Revision State,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","GRM188Z71C475KE21J","4.7uF 0603 10% 16V X7R","C301A, C301B, C301C, C1116A, C1116B","","","5","Unknown server","Murata","GRM188Z71C475KE21J","Volume Production","DigiKey","490-GRM188Z71C475KE21JCT-ND","0.24","1.2"
"","GCM155R71H104KE02J","100nF 0402 10% 50V X7R","C302A, C302B, C302C, C303A, C303B, C303C, C304A, C304B, C304C, C305A, C305B, C305C, C306A, C306B, C306C, C310A, C310B, C310C, C311A, C311B, C311C, C402A, C402B, C402C, C404A, C404B, C404C, C405A, C405B, C405C, C407A, C407B, C407C, C408A, C408B, C408C, C501A, C501B, C501C, C501D, C501E, C504A, C504B, C504C, C504D, C504E, C506A, C506B, C506C, C506D, C506E, C507A, C507B, C507C, C507D, C507E, C508A, C508B, C508C, C508D, C508E, C509A, C509B, C509C, C509D, C509E, C510A, C510B, C510C, C510D, C510E, C601A, C601B, C608A, C608B, C610A, C610B, C1301, C1303","","","79","Unknown server","Murata","GCM155R71H104KE02J","Volume Production","DigiKey","490-14514-1-ND","0.0202","1.6"
"","GRM155R61C225KE11D","2.2uF 0402 10% 16V X5R","C307A, C307B, C307C, C308A, C308B, C308C, C609A, C609B","","","8","Unknown server","Murata","GRM155R61C225KE11D","Volume Production","DigiKey","490-10695-1-ND","0.096","0.96"
"","GRM155C81E105KE11D","1uF 0402 10% 25V X6S","C309A, C309B, C309C, C312A, C312B, C312C, C401A, C401B, C401C, C607A, C607B, C1115A, C1115B","","","13","Unknown server","Murata","GRM155C81E105KE11D","Volume Production","DigiKey","490-10014-1-ND","0.043","0.559"
"","GRM188R61E106MA73D","10uF 0603 20% 25V X7R","C403A, C403B, C403C, C409A, C409B, C409C, C514A, C514B, C514C, C514D, C514E","","","11","Unknown server","Murata","GRM188R61E106MA73D","Volume Production","DigiKey","490-7202-1-ND","0.135","1.49"
"","EMK105BJ224KV-F","220nF 0402 16V 10% X5R","C406A, C406B, C406C","","","3","Unknown server","TAIYO YUDEN","EMK105BJ224KV-F","Volume Production","DigiKey","587-1452-1-ND","0.012","0.12"
"","GRM1555C1E103JE01J","10nF 0402 5% 25V C0G","C502A, C502B, C502C, C502D, C502E, C505A, C505B, C505C, C505D, C505E, C511A, C511B, C511C, C511D, C511E, C517A, C517B, C517C, C517D, C517E, C1302, C1304","","","22","Unknown server","Murata","GRM1555C1E103JE01J","Volume Production","DigiKey","490-GRM1555C1E103JE01JCT-ND","0.081","1.78"
"","CBR04C101F3GAC","100pF 0402 1% 25V C0G","C503A, C503B, C503C, C503D, C503E, C512A, C512B, C512C, C512D, C512E","","","10","Unknown server","KEMET","CBR04C101F3GAC","Volume Production","DigiKey","399-11246-1-ND","0.296","2.96"
"","CGA4J3X7S2A105K125AE","1uF 0805 10% 100V X7S","C513A, C513B, C513C, C513D, C513E, C515A, C515B, C515C, C515D, C515E, C603A, C603B, C1104A, C1104B","","","14","Unknown server","TDK","CGA4J3X7S2A105K125AE","Volume Production","DigiKey","445-8782-1-ND","0.274","3.84"
"","GRM21BD72A225KE01L","2.2µF 0805 10% 100V X7T","C516A, C516B, C516C, C516D, C516E, C602A, C602B","","","7","Unknown server","Murata","GRM21BD72A225KE01L","New Product","DigiKey","490-GRM21BD72A225KE01LCT-ND","0.242","2.42"
"","GCM155R71H223KA55D","22nF 0402 10% 50V X7R","C518A, C518B, C518C, C518D, C518E","","","5","Unknown server","Murata","GCM155R71H223KA55D","Volume Production","DigiKey","490-4763-1-ND","0.027","0.27"
"","CL10B104KC8NNNC","100nF 0603 10% 100V X7R","C604A, C604B, C1101A, C1101B, C1105A, C1105B, C1114A, C1114B, C1118A, C1118B, C1119A, C1119B","","","12","Unknown server","Samsung Electro-Mechanics","CL10B104KC8NNNC","Volume Production","DigiKey","1276-6807-1-ND","0.009","0.108"
"","GRT21BR61E226ME13L","22uF 0805 20% 25V X5R","C605A, C605B, C606A, C606B, C804","","","5","Unknown server","Murata","GRT21BR61E226ME13L","Volume Production","DigiKey","490-12389-1-ND","0.52","2.6"
"","PCR1J470MCL1GS","47uF FPCAP 20% 63V","C801, C805, C806, C807, C808","","","5","Unknown server","Nichicon","PCR1J470MCL1GS","Volume Production","DigiKey","493-13780-1-ND","3.06","15.3"
"","C1210X106K101T","10uF 1210 10% 100V X7R","C802, C803, C1103A, C1103B, C1110A, C1110B, C1201, C1204","","","8","Unknown server","Holystone","C1210X106K101T","","DigiKey","4587-C1210X106K101TCT-ND","0.809","8.09"
"","C5750X7S2A226M280KB","22uF 2220 20% 100V X7S","C1102A, C1102B, C1106A, C1106B, C1107A, C1107B, C1108A, C1108B, C1109A, C1109B","","","10","Unknown server","TDK","C5750X7S2A226M280KB","Volume Production","DigiKey","445-C5750X7S2A226M280KBCT-ND","3.61","36.08"
"","C0805C224K1RAC7800","220nF 0805 10% 100V X7R","C1111A, C1111B","","","2","Unknown server","KEMET","C0805C224K1RACTU","Volume Production","DigiKey","399-C0805C224K1RACTUCT-ND","0.46","0.92"
"","GCM1555C1H471JA16J","470pF 50V 0402 5% X7R","C1112A, C1112B","","","2","Unknown server","Murata","GCM1555C1H471JA16J","Volume Production","DigiKey","490-GCM1555C1H471JA16JCT-ND","0.1","0.2"
"","GRM155R71H272KA01J","2.7nF 0402 50V X7R","C1113A, C1113B","","","2","Unknown server","Murata","GRM155R71H272KA01J","Not Recommended for New Design","DigiKey","490-6361-1-ND","0.1","0.2"
"","GRM1555C1H472GE01D","4.7nF 0402 2% 50V C0G","C1117A, C1117B, C1203, C1206","","","4","Unknown server","Murata","GRM1555C1H472GE01D","Volume Production","Mouser","81-GRM1555C1H472GE1D","0.1","0.4"
"","GRM1555C1H102JA01D","1nF 0402 5% 50V C0G","C1202, C1205","","","2","Unknown server","Murata","GRM1555C1H102JA01D","Volume Production","DigiKey","490-3244-1-ND","0.1","0.2"
"","LTST-C191KRKT","LED RED CLEAR 0603 SMD","D101, D102, D103, D104, D105, D301A, D301B, D301C","","","8","Unknown server","Lite-On","LTST-C191KRKT","Volume Production","DigiKey","160-1447-1-ND","0.1","1"
"","KT-0805R","2.4V 645nm 5mA Discrete Diode Red Water Clear 0805","D701, D702","","","2","Unknown server","","","","","","",""
"","SMAJ51A","TVS DIODE UNI 51VWM 82.4VC 400W","D801, D804","","","2","Unknown server","Littelfuse","SMAJ51A","Volume Production","DigiKey","SMAJ51ALFCT-ND","0.4","0.8"
"","SMAJ26A","TVS DIODE UNI 26VWM 42.1VC 400W","D802","","","1","Unknown server","Littelfuse","SMAJ26A","Volume Production","DigiKey","SMAJ26ALFCT-ND","0.25","0.25"
"","SMAJ6.5A","TVS DIODE UNI 6.5VWM 11.2C 400W","D803","","","1","Unknown server","Littelfuse","SMAJ6.5A","Volume Production","DigiKey","SMAJ6.5ALFCT-ND","0.38","0.38"
"","KT-0805G","2.6V~3.1V 430mcd 525nm 5mA Discrete Diode Emerald Green Water Clear 0805","D805, D806, D807, D808, D809, D810, D811, D812, D1101A, D1101B","","","10","Unknown server","","","","","","",""
"","FTSH-107-01-F-DV-K-P-TR","Board Connector, 14 Contact(s), 2 Row(s), Male, Straight, 0.05 inch Pitch, Surface Mount Terminal, Locking","J301A, J301B, J301C","","","3","Unknown server","Samtec","FTSH-107-01-F-DV-K-P-TR","Volume Production","DigiKey","SAM13170CT-ND","2.95","8.85"
"","MOLEX_430450400","CONN HEADER SMD R/A 4POS 3MM","J701, J702, J704, J705, J706","","","5","Unknown server","Molex","43045-0400","Volume Production","DigiKey","WM1814-ND","1.42","7.1"
"","MOLEX_430451000","Molex Micro Fit 3.0mm 10 position 2 row","J703","","","1","Unknown server","Molex","43045-1000","Volume Production","DigiKey","WM1817-ND","2.77","2.77"
"","43045-1221","Conn Power HDR 12 POS 3mm Solder RA Thru-Hole 12 Terminal 1 Port Micro-Fit 3.0™ Frame","J901","","","1","Unknown server","Molex","43045-1221","Volume Production","DigiKey","WM2677-ND","3.49","3.49"
"","43045-0800","Connector Wire to Board Header 8 Position 3mm Solder Right Angle Thru-Hole Tray","J902","","","1","Unknown server","Molex","43045-0800","Volume Production","DigiKey","WM1816-ND","1.74","1.74"
"","XGL4020-682MEC","FIXED IND 6.8UH 4.2A 70MOHM SMD","L601A, L601B","","","2","Unknown server","Coilcraft","XGL4020-682MEC","Volume Production","","","",""
