Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Recovery_Board\Project Outputs for Recovery_Board\Pick Place for PCB0.csv

========================================================================================================================
File Design Information:

Date:       24/02/26
Time:       00:38
Revision:   0ab2915957a15b0a769b7d41c0d40cdba42718bf
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"MH104","M3_PTH","TopLayer","YJSP_M3_PTH","147.6180","123.3810","0","A plated through hole for M3 screws"
"MH103","M3_PTH","TopLayer","YJSP_M3_PTH","53.6500","123.3810","0","A plated through hole for M3 screws"
"MH102","M3_PTH","TopLayer","YJSP_M3_PTH","147.6180","29.4010","0","A plated through hole for M3 screws"
"MH101","M3_PTH","TopLayer","YJSP_M3_PTH","53.6500","29.4010","0","A plated through hole for M3 screws"
"R1113B","RC0402FR-0747KL","TopLayer","RES_0402","88.7730","39.4970","0","47k 0402 1% 1/16W"
"R1113A","RC0402FR-0747KL","TopLayer","RES_0402","67.8180","42.0370","0","47k 0402 1% 1/16W"
"R1112B","RC0402FR-07348KL","TopLayer","RES_0402","88.2650","38.2270","270","348k 0402 1% 1/16W"
"R1112A","RC0402FR-07348KL","TopLayer","RES_0402","67.3100","40.7670","270","348k 0402 1% 1/16W"
"U504A","AD_LT3065EMSE","TopLayer","AD_MSE_(12-MSOP)","127.7249","97.6113","0","Linear Voltage Regulator IC Positive Adjustable 1 Output 500mA 12-MSOP-EP"
"U503A","TI_TLV9351IDCKR","BottomLayer","TI_R-PDSO-G5_(SC70)","122.0296","109.3457","270","40-V, single 3.5-MHz, RRO, MUX-friendly operational amplifier 5-SC70 -40 to 125"
"U502A","TI_TPS272C45D","BottomLayer","TI_VQFN-24","126.9999","123.6063","270","TPS272C45 45-mO, Dual-Channel Smart High-Side Switch With Diagnostics"
"U501A","TI_TLV9351IDCKR","BottomLayer","TI_R-PDSO-G5_(SC70)","130.2059","109.0803","270","40-V, single 3.5-MHz, RRO, MUX-friendly operational amplifier 5-SC70 -40 to 125"
"R529A","RC0402FR-070RL","BottomLayer","RES_0402","126.8659","112.8063","0","0R 0402 1% 1/16W"
"R528A","ERA-3AEB5232V","TopLayer","RES_0603","132.5509","98.6333","270","52.3k 0603 0.1% 1/10W"
"R527A","ERA-6VEB1201V","TopLayer","RES_0805","121.9200","95.7580","90","1.2k 0805 0.1% 1/4W"
"R526A","RT0603BRD071ML","TopLayer","RES_0603","131.0269","98.6333","270","1M 0603 0.1% 1/10W"
"R525A","RC0603FR-07143KL","TopLayer","RES_0603","123.8250","98.6790","270","143k 0603 1% 1/10W"
"R524A","PE1206FRF470R6L","BottomLayer","RES_1206","126.4849","107.0383","90","600m 1206 1% 1W"
"R523A","ERA-2AEB511X","BottomLayer","RES_0402","124.8339","106.9643","270","510R 0402 0.1% 1/16W"
"R522A","RC0402FR-0710KP","BottomLayer","RES_0402","122.0399","105.3133","0","10K 0402 1% 1/16W"
"R521A","ERA-2APB102X","BottomLayer","RES_0402","122.9289","111.6633","180","1k 0402 0.1% 1/16W"
"R520A","ERJ-3EKF10R0V","BottomLayer","RES_0603","122.0399","106.7103","0","10R 0603 1% 1/10W"
"R519A","RC0402FR-0710KP","BottomLayer","RES_0402","133.4929","116.4893","90","10K 0402 1% 1/16W"
"R518A","RT0603BRD071ML","BottomLayer","RES_0603","121.0239","113.8223","270","1M 0603 0.1% 1/10W"
"R517A","RT0402BRD073K2L","BottomLayer","RES_0402","125.2149","114.7113","90","3.2 kOhms ±0.1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thin Film"
"R516A","RC0402FR-0710KP","BottomLayer","RES_0402","125.2149","116.7433","90","10K 0402 1% 1/16W"
"R515A","RC0402FR-0710KP","BottomLayer","RES_0402","122.9519","122.2043","0","10K 0402 1% 1/16W"
"R514A","RC0402FR-0710KP","BottomLayer","RES_0402","122.9519","121.1883","0","10K 0402 1% 1/16W"
"R513A","ERA-6VEB1201V","BottomLayer","RES_0805","131.5219","120.0453","0","1.2k 0805 0.1% 1/4W"
"R512A","PE1206FRF470R6L","BottomLayer","RES_1206","134.7629","106.9643","90","600m 1206 1% 1W"
"R511A","RC0402FR-0710KP","BottomLayer","RES_0402","131.2069","121.5693","0","10K 0402 1% 1/16W"
"R510A","ERA-2AEB511X","BottomLayer","RES_0402","133.1119","106.3293","270","510R 0402 0.1% 1/16W"
"R509A","RC0402FR-0710KP","BottomLayer","RES_0402","130.2949","105.0593","0","10K 0402 1% 1/16W"
"R508A","ERA-2APB102X","BottomLayer","RES_0402","131.0799","111.4093","180","1k 0402 0.1% 1/16W"
"R507A","RC0402FR-0710KP","BottomLayer","RES_0402","129.3019","120.1723","270","10K 0402 1% 1/16W"
"R506A","ERJ-3EKF10R0V","BottomLayer","RES_0603","130.1909","106.4563","0","10R 0603 1% 1/10W"
"R505A","RC0402FR-0710KP","BottomLayer","RES_0402","126.1269","119.5373","270","10K 0402 1% 1/16W"
"R504A","RC0402FR-0710KP","BottomLayer","RES_0402","131.2069","122.5853","0","10K 0402 1% 1/16W"
"R503A","RC0402FR-0710KP","BottomLayer","RES_0402","128.1589","119.5373","270","10K 0402 1% 1/16W"
"R502A","RT0603BRD071ML","BottomLayer","RES_0603","129.1519","113.5683","270","1M 0603 0.1% 1/10W"
"R501A","RT0402BRD073K2L","BottomLayer","RES_0402","133.4929","114.4573","90","3.2 kOhms ±0.1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thin Film"
"Q506A","DIODESINC_2N7002DW","BottomLayer","DIODESINC_SOT363","123.1829","114.0763","90","DUAL N-CHANNEL ENHANCEMENT MODE MOSFET"
"Q505A","DIODESINC_2N7002DW","BottomLayer","DIODESINC_SOT363","131.3339","113.8223","90","DUAL N-CHANNEL ENHANCEMENT MODE MOSFET"
"Q504A","DIODESINC_2N7002DW","BottomLayer","DIODESINC_SOT363","131.3339","117.2513","90","DUAL N-CHANNEL ENHANCEMENT MODE MOSFET"
"Q503A","INFINEON_IPD110N12N3G","BottomLayer","INF-PG-TO252-3-11_A_N","123.8239","99.7503","270","MOSFET, N-CH, 120V, 75A, TO252-3"
"Q502A","DIODESINC_2N7002DW","BottomLayer","DIODESINC_SOT363","123.1829","117.5053","90","DUAL N-CHANNEL ENHANCEMENT MODE MOSFET"
"Q501A","INFINEON_IPD110N12N3G","BottomLayer","INF-PG-TO252-3-11_A_N","131.8249","99.7503","270","MOSFET, N-CH, 120V, 75A, TO252-3"
"C518A","GCM155R71H223KA55D","TopLayer","CAP_0402","124.0790","96.1390","270","22nF 0402 10% 50V X7R"
"C517A","GRM1555C1E103JE01J","TopLayer","CAP_0402","131.4450","96.6470","180","10nF 0402 5% 25V C0G"
"C516A","GRM21BD72A225KE01L","TopLayer","CAP_0805","125.8199","100.7673","180","2.2µF 0805 10% 100V X7T"
"C514A","GRM188R61E106MA73D","TopLayer","CAP_0603","129.0320","100.9650","0","10uF 0603 20% 25V X7R"
"C512A","CBR04C101F3GAC","BottomLayer","CAP_0402","124.3539","108.3613","0","100pF 0402 1% 25V C0G"
"C511A","GRM1555C1E103JE01J","BottomLayer","CAP_0402","120.8969","111.6633","0","10nF 0402 5% 25V C0G"
"C510A","GCM155R71H104KE02J","BottomLayer","CAP_0402","120.1349","108.6153","90","100nF 0402 10% 50V X7R"
"C509A","GCM155R71H104KE02J","BottomLayer","CAP_0402","122.3169","123.9823","270","100nF 0402 10% 50V X7R"
"C508A","GCM155R71H104KE02J","BottomLayer","CAP_0402","123.3329","123.9823","270","100nF 0402 10% 50V X7R"
"C507A","GCM155R71H104KE02J","BottomLayer","CAP_0402","130.8259","124.4903","270","100nF 0402 10% 50V X7R"
"C506A","GCM155R71H104KE02J","BottomLayer","CAP_0402","131.8419","124.4903","270","100nF 0402 10% 50V X7R"
