Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","GRM32EC72A106KE05L","10uF 1210 10% 100V X7S","C1, C2, C22, C23, C33, C34, C36, C37, C73, C74","CMP-001-00027-7","Reviewed","Up to date","10","","","","","","",""
"","CGA4J3X7S2A105K125AE","1uF 0805 10% 100V X7S","C3, C4, C24, C35, C38, C45A, C45B, C45C, C48A, C48B, C48C, C75","CMP-001-00028-8","Reviewed","Up to date","12","","","","","","",""
"","0805Y1K00472KST","4.7nF 0805 10% 1kV X7R","C5, C6, C7, C8, C9, C10, C65","CMP-001-00039-8","Reviewed","Up to date","7","","","","","","",""
"","CGA3E3X7R1E334M080AB","330nF 0603 20% 25V X7R","C11A, C11B, C11C, C11D, C11E, C11F","CMP-001-00057-5","Reviewed","Up to date","6","","","","","","",""
"","GCM155R71H104KE02J","100nF 0402 10% 50V X7R","C12A, C12B, C12C, C12D, C12E, C12F, C14A, C14B, C14C, C14D, C14E, C14F, C16, C19, C21, C32, C41A, C41B, C41C, C43A, C43B, C43C, C46A, C46B, C46C, C47A, C47B, C47C, C51A, C51B, C54A, C54B, C57A, C57B, C60A, C60B, C64, C66, C67, C68, C69, C70, C71, C72, C76, C77, C79, C85, C88, C90, C91, C92, C95","CMP-001-00060-16","Reviewed","Up to date","53","Murata","GCM155R71H104KE02J","Volume Production","Newark","66AJ7149","0.019","1.01"
"","GCM188R71E105KA64D","1uF 0603 10% 25V X7R","C13A, C13B, C13C, C13D, C13E, C13F, C28, C83, C89","CMP-002-000018-6","Reviewed","Out of date","9","Murata","GCM188R71E105KA64D","Volume Production","Mouser","81-GCM188R71E105KA4D","0.082","0.82"
"","GCM155R71H103KA55D","10nF 0402 10% 50V X7R","C15, C17, C18, C20, C40, C49A, C49B, C49C, C50A, C50B, C52A, C52B, C53A, C53B, C55A, C55B, C56A, C56B, C58A, C58B, C59A, C59B, C61A, C61B, C93, C94","CMP-001-00061-16","Reviewed","Up to date","26","","","","","","",""
"","GRM188R61E106MA73D","10uF 0603 20% 25V X7R","C25, C29","CMP-001-00065-9","Reviewed","Up to date","2","","","","","","",""
"","GRM21BZ71A226ME15L","22uF 0805 20% 10V X7R","C26, C27","CMP-001-00042-11","Reviewed","Up to date","2","","","","","","",""
"","GCM1555C1H470JA16D","47pF 0402 10% 50V X7R","C30, C39","CMP-001-00069-12","Draft","Up to date","2","","","","","","",""
"","GRM1555C1H472GE01D","4.7nF 0402 2% 50V C0G","C31, C42A, C42B, C42C, C44A, C44B, C44C, C78, C80","CMP-002-000036-8","Draft","Up to date","9","Murata","GRM1555C1H472GE01D","Volume Production","Mouser","81-GRM1555C1H472GE1D","0.04","0.4"
"","PCR1J470MCL1GS","47uF FPCAP 20% 63V","C62, C63","CMP-001-00004-11","Reviewed","Up to date","2","Nichicon","PCR1J470MCL1GS","Volume Production","","","",""
"","GRT21BR61E226ME13L","22uF 0805 20% 25V X5R","C81, C82","CMP-001-00055-8","Reviewed","Up to date","2","","","","","","",""
"","GRM155R61C225KE11D","2.2uF 0402 10% 16V X5R","C84","CMP-002-000038-8","Draft","Out of date","1","Murata","GRM155R61C225KE11D","Volume Production","DigiKey","490-10695-1-ND","0.17","0.17"
"","CBR04C101F3GAC","100pF 0402 1% 25V C0G","C86","CMP-001-00102-8","Draft","Up to date","1","","","","","","",""
"","GRM1885C1H752JA01D","7.5nF 0603 50V 5% C0G","C87","CMP-101-0022-1","Draft","Up to date","1","","","","","","",""
"","DIODESINC_B560C-13-F","DIODE SCHOTTKY 60V 5A SMC","D1, D2","CMP-004-00007-6","Draft","Up to date","2","Diodes Inc.","B560C-13-F","Volume Production","Mouser","621-B560C-F","0.51","1.02"
"","5988170107F","LED GREEN CLEAR 0805 SMD","D3A, D3B, D3C, D4A, D4B, D4C, D5A, D5B, D5C, D6A, D6B, D6C, D11, D12, D13","CMP-00012-3","Reviewed","Up to date","15","Dialight","598-8170-107F","Volume Production","Arrow Electronics","598-8170-107F","0.142","2.13"
"","SMAJ51A","TVS DIODE UNI 51VWM 82.4VC 400W","D7","CMP-004-00037-1","Reviewed","Up to date","1","Littelfuse","SMAJ51A","Volume Production","Arrow Electronics","SMAJ51A","0.0955","0.0955"
"","SMAJ26A","TVS DIODE UNI 26VWM 42.1VC 400W","D8","CMP-004-00036-1","Reviewed","Up to date","1","Littelfuse","SMAJ26A","Volume Production","RS (Formerly Allied Electronics)","71336638","0.158","0.158"
"","SMAJ6.5A","TVS DIODE UNI 6.5VWM 11.2C 400W","D9","CMP-004-00035-1","Reviewed","Up to date","1","Littelfuse","SMAJ6.5A","Volume Production","Arrow Electronics","SMAJ6.5A","0.0539","0.0539"
"","SMAJ5.0A","TVS DIODE UNI 5VWM 9.2VC 400W","D10","CMP-004-00034-1","Reviewed","Up to date","1","Littelfuse","SMAJ5.0A","Volume Production","DigiKey","SMAJ5.0ALFCT-ND","0.25","0.25"
"","LTST-C190KRKT","LED RED CLEAR 0603 SMD","D14, D16","CMP-102-0038-1","Reviewed","Up to date","2","Lite-On","LTST-C190KRKT","Volume Production","DigiKey","160-1436-1-ND","0.14","0.28"
"","CD0603-B0240R","Diode 40 V 200mA Surface Mount 0603","D15, D17, D18","CMP-102-0010-1","Draft","Up to date","3","Bourns","CD0603-B0240R","Volume Production","Newark","43AC9106","0.042","0.21"
"","8STA2-1835-PN","Eaton (Souriau) Fixed Oval Flange Receptacle Motorsport Circular Connector, Shell Size 18, 66 Way, Male/Plug, PCB Contacts , Orientation Normal","J1","CMP-002-00045-1","Draft","Up to date","1","","","","","","",""
"","COILCRAFT_XGL6060-223MEC","22uH SMD 20% 5.8A","L1, L3","CMP-006-00022-3","Draft","Up to date","2","Coilcraft","XGL6060-223MEC","Volume Production","","","",""
