Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Flight_System_Avionics_Module\Project Outputs for Flight_System_Avionics_Module\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       12/10/25
Time:       21:25
Revision:   e4ce0a0809d5cd2432993f92cc1343969aa6b586
Variant:    No variations
Units used: mm

"Designator","Footprint","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"U1C","TI_S-PQFP-G32","TopLayer","105.9180mm","56.3880mm","180"
"R58A","RES_0402","TopLayer","105.1560mm","48.4860mm","90"
"R57A","RES_0603","TopLayer","105.4100mm","46.7360mm","180"
"R56A","RES_0402","TopLayer","113.5380mm","57.6580mm","180"
"R55A","RES_0402","TopLayer","106.1720mm","48.5140mm","90"
"R54A","RES_0402","TopLayer","113.5380mm","58.6740mm","180"
"R53A","RES_0402","TopLayer","110.2360mm","48.5140mm","90"
"R52A","RES_0603","TopLayer","110.5439mm","46.6691mm","180"
"R51A","RES_0402","TopLayer","113.5100mm","53.3400mm","180"
"R50A","RES_0402","TopLayer","111.2520mm","48.5420mm","90"
"R49A","RES_0402","TopLayer","113.5380mm","54.3560mm","180"
"C61A","CAP_0402","TopLayer","104.1400mm","48.5140mm","90"
"C60A","CAP_0402","TopLayer","105.6640mm","50.0380mm","180"
"C59A","CAP_0402","TopLayer","107.1880mm","48.5140mm","270"
"C58A","CAP_0402","TopLayer","113.5380mm","56.6420mm","180"
"C57A","CAP_0402","TopLayer","112.0140mm","58.1660mm","270"
"C56A","CAP_0402","TopLayer","113.5380mm","59.6900mm","0"
"C55A","CAP_0402","TopLayer","109.2200mm","48.5140mm","90"
"C54A","CAP_0402","TopLayer","110.7440mm","50.0380mm","180"
"C53A","CAP_0402","TopLayer","112.2680mm","48.5140mm","270"
"C52A","CAP_0402","TopLayer","113.5380mm","52.3240mm","180"
"C51A","CAP_0402","TopLayer","112.0140mm","53.8200mm","270"
"C50A","CAP_0402","TopLayer","113.5100mm","55.3720mm","0"
"C13C","CAP_0603","TopLayer","101.0920mm","53.8480mm","90"
"C12C","CAP_0402","TopLayer","103.8860mm","60.9600mm","180"
"C11C","CAP_0603","TopLayer","103.4160mm","51.5620mm","0"
"R40C","RES_0402","TopLayer","39.2808mm","37.3946mm","90"
"R40B","RES_0402","TopLayer","43.8528mm","37.3946mm","90"
"R40A","RES_0402","TopLayer","71.0308mm","37.6486mm","90"
"R39C","RES_0402","TopLayer","41.5668mm","37.3946mm","90"
"R39B","RES_0402","TopLayer","68.7448mm","37.6486mm","90"
"R39A","RES_0402","TopLayer","73.3168mm","37.6486mm","90"
"C82","CAP_0805","TopLayer","84.3280mm","84.8610mm","180"
"C81","CAP_0805","TopLayer","84.3940mm","86.8680mm","180"
"R97","RES_0402","TopLayer","94.9960mm","55.3720mm","90"
"R85","RES_0402","BottomLayer","87.0800mm","99.2363mm","225"
"R80","RES_0402","BottomLayer","86.1060mm","102.8700mm","90"
"R79","RES_0402","BottomLayer","85.0900mm","102.8700mm","90"
"D16","LED_0603","TopLayer","94.9960mm","52.5780mm","270"
"D5A","LED_0805","TopLayer","71.0308mm","34.5346mm","270"
"D5B","LED_0805","TopLayer","43.8528mm","34.3466mm","270"
"D5C","LED_0805","TopLayer","39.2808mm","34.3466mm","270"
"D4A","LED_0805","TopLayer","73.3168mm","34.5346mm","270"
"D4B","LED_0805","TopLayer","68.7448mm","34.6006mm","270"
"D4C","LED_0805","TopLayer","41.5668mm","34.3466mm","270"
"D14","LED_0603","TopLayer","82.5500mm","102.8320mm","270"
"R86","Copy_of_OHMITE_LVK12","TopLayer","84.3117mm","68.4913mm","0"
"Q1","BeagleBone_Black-Footprint-1","BottomLayer","48.5140mm","36.3220mm","0"
"R61","RES_1206","TopLayer","102.6704mm","102.5086mm","270"
"R60","RES_1206","TopLayer","98.0126mm","102.5086mm","270"
"C14F","CAP_0402","TopLayer","21.6804mm","33.2019mm","0"
"C14D","CAP_0402","TopLayer","21.6804mm","36.2464mm","0"
"C14C","CAP_0402","TopLayer","21.6804mm","37.8237mm","0"
"C14B","CAP_0402","TopLayer","21.7007mm","39.2934mm","0"
"R19","RES_0402","TopLayer","54.0679mm","27.4845mm","180"
"R91","RES_0402","TopLayer","80.7371mm","78.5732mm","270"
"R84","RES_0402","TopLayer","75.8785mm","100.8159mm","270"
"R71","RES_0402","TopLayer","119.2025mm","80.4336mm","0"
"R17","RES_0402","TopLayer","52.0181mm","27.4916mm","180"
"MH7","YJSP_M3_PTH","TopLayer","120.2690mm","21.8920mm","0"
"C66","CAP_0402","TopLayer","34.6878mm","65.9239mm","90"
"C10","CAP_0805","TopLayer","45.3455mm","77.2139mm","90"
"C9","CAP_0805","TopLayer","18.3540mm","3.8100mm","0"
"C8","CAP_0805","TopLayer","11.4768mm","98.3299mm","270"
"C7","CAP_0805","TopLayer","120.7316mm","53.0837mm","90"
"C6","CAP_0805","TopLayer","113.3558mm","3.9355mm","180"
"C5","CAP_0805","TopLayer","113.3558mm","18.6271mm","0"
"R74","RES_0603","TopLayer","116.3122mm","83.0403mm","270"
"R70","RES_0402","TopLayer","119.6161mm","85.7196mm","180"
"R69","RES_0603","TopLayer","120.4360mm","88.3920mm","270"
"Q3","ONSEMI_SOT-23","TopLayer","119.2571mm","83.0145mm","0"
"Q2","ONSEMI_SOT-23","TopLayer","117.6020mm","88.3920mm","180"
"C70","CAP_0402","TopLayer","116.7565mm","86.0544mm","0"
"Q5","TI_8-VSON(3.3x3.3)","TopLayer","79.7284mm","91.3913mm","0"
"J1","8STA2-18-35PN","BottomLayer","104.2467mm","78.1205mm","180"
"R100","RES_0402","TopLayer","74.2245mm","75.7046mm","0"
"R93","RES_0402","TopLayer","82.0729mm","76.8158mm","90"
"R87","RES_0402","TopLayer","75.3974mm","98.0180mm","270"
"D17","DIODE_0603","TopLayer","73.8472mm","78.2785mm","90"
"R75","RES_0603","TopLayer","27.8889mm","56.0796mm","270"
"R66","RES_0603","TopLayer","20.1405mm","66.0457mm","90"
"R44A","RES_0402","TopLayer","43.2733mm","90.7701mm","90"
"R44B","RES_0402","TopLayer","45.9371mm","90.7636mm","90"
"R44C","RES_0402","TopLayer","48.4438mm","90.7701mm","90"
"R104","RES_0402","TopLayer","33.9510mm","56.7384mm","90"
"R98","RES_0402","TopLayer","74.3290mm","80.6865mm","0"
"R47A","RES_0603","BottomLayer","64.8120mm","76.2351mm","0"
"R47B","RES_0603","BottomLayer","64.8120mm","86.9169mm","0"
"R47C","RES_0603","BottomLayer","64.7982mm","99.0588mm","0"
"R101","RES_0402","TopLayer","31.9908mm","56.7384mm","90"
"R73","RES_0603","TopLayer","24.6576mm","56.0758mm","270"
"R68","RES_0603","TopLayer","27.5566mm","66.0456mm","90"
"R43A","RES_0603","BottomLayer","67.9700mm","76.2496mm","0"
"R43B","RES_0603","BottomLayer","67.9695mm","86.9229mm","0"
"R43C","RES_0603","BottomLayer","67.9562mm","99.0588mm","0"
"R38A","RES_0402","TopLayer","55.4176mm","74.9451mm","270"
"R38B","RES_0402","TopLayer","55.2297mm","83.8317mm","90"
"R38C","RES_0402","TopLayer","55.3027mm","96.0965mm","90"
"R37A","RES_0402","TopLayer","56.3644mm","71.3323mm","90"
"R37B","RES_0402","TopLayer","56.3329mm","83.8561mm","90"
"R37C","RES_0402","TopLayer","56.3479mm","96.1082mm","90"
"R36A","RES_0603","BottomLayer","64.8121mm","78.8486mm","0"
"R36B","RES_0603","BottomLayer","64.8120mm","84.5762mm","0"
"R36C","RES_0603","BottomLayer","64.8120mm","96.6783mm","0"
"R35A","RES_0603","BottomLayer","67.9700mm","78.8910mm","0"
"R35B","RES_0603","BottomLayer","67.9695mm","84.5804mm","0"
"R35C","RES_0603","BottomLayer","67.9700mm","96.6783mm","0"
"R63","RES_0603","TopLayer","23.3139mm","66.0413mm","90"
"NT3","NET-TIE_0805","TopLayer","72.0872mm","78.3657mm","270"
"NT2","NET-TIE_0805","TopLayer","75.6032mm","78.1601mm","270"
"NT1","NET-TIE_0805","TopLayer","78.2674mm","77.4507mm","0"
"MH2","YJSP_M3_PTH","TopLayer","120.2690mm","45.7420mm","0"
"D15","DIODE_0603","TopLayer","78.3369mm","79.2566mm","180"
"C49A","CAP_0402","TopLayer","41.9404mm","90.7701mm","90"
"C49B","CAP_0402","TopLayer","44.5686mm","90.7636mm","90"
"C49C","CAP_0402","TopLayer","47.1681mm","90.7625mm","90"
"C94","CAP_0402","TopLayer","35.2566mm","56.7384mm","270"
"C72","CAP_0402","TopLayer","26.2657mm","56.4970mm","270"
"C71","CAP_0402","TopLayer","26.1961mm","65.9490mm","90"
"C93","CAP_0402","TopLayer","30.6871mm","56.7384mm","270"
"C67","CAP_0402","TopLayer","21.6645mm","66.0457mm","90"
"U7C","TI_VQFN-24","TopLayer","60.3360mm","98.0448mm","180"
"R42C","RES_0603","TopLayer","65.5643mm","99.8054mm","270"
"R34C","RES_0603","TopLayer","65.5698mm","96.1663mm","90"
"R48C","RES_0603","TopLayer","59.1510mm","101.7616mm","0"
"R46C","RES_0603","TopLayer","59.5566mm","93.5048mm","90"
"R45C","RES_0603","TopLayer","57.9868mm","93.5131mm","90"
"R41C","RES_0402","TopLayer","56.9602mm","99.2633mm","180"
"D6C","LED_0805","TopLayer","64.4600mm","102.6794mm","180"
"D3C","LED_0805","TopLayer","64.4606mm","93.2668mm","180"
"C48C","CAP_0805","TopLayer","63.7555mm","99.9577mm","90"
"C46C","CAP_0402","TopLayer","57.3975mm","71.3274mm","90"
"C45C","CAP_0805","TopLayer","63.7732mm","96.0109mm","270"
"C47C","CAP_0402","TopLayer","56.9508mm","100.2459mm","0"
"C44C","CAP_0402","TopLayer","61.8016mm","76.6601mm","180"
"C43C","CAP_0402","TopLayer","61.8120mm","77.6170mm","0"
"C42C","CAP_0402","TopLayer","61.7661mm","69.7626mm","180"
"C41C","CAP_0402","TopLayer","61.7599mm","68.7905mm","0"
"U9","TI_DBV0005A_(SOT-23-5)","TopLayer","19.8947mm","71.7905mm","90"
"U8","TI_DBV0005A_(SOT-23-5)","TopLayer","34.6046mm","76.3455mm","270"
"U13","TI_R-PDSO-G5_(SC70)","TopLayer","75.6886mm","94.0214mm","180"
"U12","TI_R-PDSO-G5_(SC70)","TopLayer","77.9866mm","72.8795mm","90"
"U11","TI_VQFN-24","TopLayer","85.0006mm","76.8673mm","180"
"U10","TI_RGY0024F","TopLayer","82.5858mm","97.1242mm","0"
"U5","TI_DDA0008J","TopLayer","18.0479mm","92.1207mm","180"
"U7A","TI_VQFN-24","TopLayer","60.3358mm","73.2419mm","180"
